Neighborhood,categories,Latitude,Longitude
Pizza 4P’s Hai Bà Trưng,Pizza Place,10.783017468089634,106.69701706127131
MGallery Hotel des Art,Hotel,10.782382056843874,106.69710273513942
Đường Sách Nguyễn Văn Bình,Bookstore,10.78024894539262,106.69940381539705
Pacey Cupcakes,Cupcake Shop,10.780202428919969,106.70077316508025
Heart Of Darkness,Bar,10.779781,106.702999
Social Club @ Hotel Des Arts,Hotel Bar,10.78237248224753,106.69730264745415
Cộng Cà Phê,Café,10.777917420558502,106.70126563375021
InterContinental Saigon,Hotel,10.781261213063363,106.70078598155953
Park Hyatt Saigon,Hotel,10.777573945426527,106.70360889230898
Starbucks Reserve,Coffee Shop,10.778961394448013,106.69818512269273
Propaganda,Vietnamese Restaurant,10.778912622927256,106.69789343017
Club Lounge @ InterContinental Saigon,Hotel Bar,10.78097503871432,106.70096751156167
Bông Súng Vegetarian food - coffee,Vegetarian / Vegan Restaurant,10.77808761805483,106.69913663038886
Pizza 4P's,Pizza Place,10.77330135301938,106.69759947485072
Pasteur Street Brewing Company,Brewery,10.77522,106.700894
Silverland Yen Hotel,Hotel,10.774849922100469,106.69616040962687
Golden Lotus Spa & Massage Club,Massage Studio,10.77924134555606,106.70449277395437
Glow Skybar,Bar,10.776878547474666,106.69832979192665
Liberty Central Saigon Citypoint Hotel,Hotel,10.774758123745196,106.70079525019733
Pizza 4P's,Pizza Place,10.781866,106.705113
Quan Chi Hoa Vietnamese Cuisine,Vietnamese Restaurant,10.779048,106.703471
B3 - Steakhouse & Craft Beer,Steakhouse,10.775190128194758,106.70249153306926
Au Parc,Middle Eastern Restaurant,10.778903743445456,106.69779873539372
CGV Cinemas Parkson Lê Thánh Tôn (CGV Cinemas Parkson Đồng Khởi),Multiplex,10.77743469711648,106.70230527261856
TukTuk Thai Bistro,Thai Restaurant,10.777389397860302,106.70052059682003
Le Corto,French Restaurant,10.777775793156941,106.70454780197234
UNIQLO Đồng Khởi,Clothing Store,10.777732,106.70158
"Hum Vegetarian, Café & Restaurant",Vegetarian / Vegan Restaurant,10.778750194659068,106.6922079986444
O Lé,Spanish Restaurant,10.774771690368652,106.69952392578125
CGV Cinemas Vincom Đồng Khởi,Multiplex,10.778079911465941,106.7018352299184
Ganges Fine Dining Restaurant,North Indian Restaurant,10.778258512295805,106.70308696957622
Takashimaya,Department Store,10.773193707180177,106.70107457707464
Renkon,Japanese Restaurant,10.778233,106.703888
"Hum Vegetarian, Lounge & Restaurant",Vegetarian / Vegan Restaurant,10.77668421646214,106.70587252851817
Miu Miu Spa,Spa,10.781714580268417,106.70475353038672
Opera,Italian Restaurant,10.777190486233778,106.70346129785288
Sofitel Saigon Plaza,Hotel,10.78404172806318,106.70263790952481
CGV Cinemas Liberty CityPoint,Multiplex,10.774763076335212,106.70076628439001
miu miu 3,Spa,10.781495932738379,106.70550208668203
Annam Gourmet Saigon Centre,Supermarket,10.773203601879715,106.70043496951817
Starbucks,Coffee Shop,10.781078,106.700207
Gartenstadt German Restaurant,German Restaurant,10.77446429282367,106.7047635836618
Carmen Bar,Cocktail Bar,10.78232386869617,106.7049334420917
The Alley Cocktail Bar & Kitchen,Speakeasy,10.774759614740848,106.70060492162908
Chiyoda Sushi,Sushi Restaurant,10.778235163034994,106.69836995472424
Silverland Sakyo Hotel & Spa,Hotel,10.78156229249803,106.705500224353
Prem Bistro,Vegetarian / Vegan Restaurant,10.778974,106.690335
Saxn'art Jazz Club,Jazz Club,10.774067944432472,106.70090549299076
L'Usine Le Thanh Ton,Café,10.779773808788406,106.70400723147168
Là Việt Coffee,Coffee Shop,10.785848734642466,106.69361273528806
firkin,Cocktail Bar,10.77564173259219,106.70531819667104
The Reverie Saigon,Hotel,10.773697363118465,106.70461975102558
Saigon Coffee Roastery,Café,10.775859063503534,106.70326975245985
ラーメン暖暮 ホーチミン店,Ramen Restaurant,10.779784386764398,106.70483920432739
Boa cafe,Coffee Shop,10.775238,106.70277
Manmaru,Japanese Restaurant,10.788212619866897,106.69572902037193
Quán Lộc Thành,Vietnamese Restaurant,10.772471815116436,106.69844093392584
Shin Coffee,Café,10.775219283794609,106.70320825879796
The Racha Room,Thai Restaurant,10.775877997635979,106.70534137347434
Saigon Opera House (Nhà Hát Thành Phố),Opera House,10.776378204562542,106.70283532908618
Bep Me In,Vietnamese Restaurant,10.773809648839498,106.69815178048358
Pizza 4P's Saigon Center,Pizza Place,10.77330319762361,106.70080621095653
Quynh Nhu Foot Massage,Massage Studio,10.77106984506357,106.70027692825936
Shimmer Silver,Jewelry Store,10.774268639933021,106.70412347812564
Sheraton Saigon Hotel & Towers,Hotel,10.77544606087542,106.70387790536552
QUI - Cuisine · Mixology,Lounge,10.780721702050617,106.70475492533389
Noir. Dining in the Dark Saigon,Asian Restaurant,10.786484355854066,106.6946791134439
Maison Marou Saigon,Dessert Shop,10.769666838302594,106.69792482483172
THE First,Whisky Bar,10.773432862942892,106.70327627076303
Starbucks (Starbucks Coffee Rex Hotel),Coffee Shop,10.775613753000645,106.70053035020828
Fusion Suites Sai Gon,Hotel,10.772772887251579,106.689894104782
Nam Phan,Vietnamese Restaurant,10.778742346142703,106.69209211670903
Legend Lounge @ Legend Hotel Saigon,Lounge,10.77876092859416,106.70629865977318
LOTTE Legend Hotel,Hotel,10.778756965925195,106.70648971108234
Sushi Hokkaido Sachi Đông Du,Japanese Restaurant,10.776417457262417,106.70502731315005
The Workshop Cafe,Coffee Shop,10.773551,106.705586
Dung Tailors,Clothing Store,10.772577937334663,106.69657435258767
Con Voi Vàng (Golden Elephant),Thai Restaurant,10.776892785894931,106.70468615162495
Anan Saigon,Vietnamese Restaurant,10.771808718538466,106.70313081572672
Gem Center,Convention Center,10.789916878682392,106.70221868447864
Bánh Mì Huỳnh Hoa,Sandwich Place,10.77149,106.69238
Tandoor,Indian Restaurant,10.77322885204423,106.70520410298867
鶏そば ムタヒロ,Ramen Restaurant,10.77938534804234,106.7053984122953
Poke Saigon,Hawaiian Restaurant,10.774144890811066,106.7042756415011
The World Of Heineken,Museum,10.771902798403872,106.70411739070119
Phở Phú Vương,Vietnamese Restaurant,10.76826089072027,106.69870990297053
137 Foot Massage,Spa,10.771053050371846,106.70009153270775
Tomatito,Tapas Restaurant,10.769624,106.697844
The Vintage Emporium,Café,10.790145563752521,106.69920824478388
Family Mart,Convenience Store,10.781216743312667,106.70511171653895
Layla - Eatery & Bar,Cocktail Bar,10.775071016860455,106.70422650905073
Marcel Gourmet Burger,Burger Joint,10.768935527285393,106.69849990202535
Malt,Pub,10.775321938369581,106.70489362355427
Charles & Keith,Shoe Store,10.771058902801798,106.69289395601838
Công viên Tao Đàn | Tao Dan Park (Công viên Tao Đàn),Park,10.774394446335775,106.69255516799772
Xu Bar,Bar,10.776986668421694,106.70457840874235
Fang Pub,Gastropub,10.776671345570993,106.68942499413707
Sushi Hokkaido Sachi Nguyễn Trãi,Sushi Restaurant,10.769228635370144,106.69037055801432
Starbucks,Coffee Shop,10.776495005764398,106.70503812698533
Ashima Mushroom Hotpot,Restaurant,10.783649996666547,106.68948515078557
